Device:	GeForce GTX 650 Ti
Matrix Order: 16

Single precision
Multiplications	shortest(ns)	average(ns)
1	3712	9346
2	3712	7730
3	3712	7153
4	3712	7240
5	4256	8066
6	4256	7980
7	4224	8044
8	4256	7842
9	4352	8268
10	4256	8356
11	4256	8417
12	4288	8340
13	4768	8962
14	4768	8964
15	4832	8958
16	8480	8990
17	9024	9047
18	5344	9050
19	5408	9013
20	5568	9077
21	5888	9389
22	5888	9474
23	5344	9452
24	5568	9479
25	5856	10087
26	5856	10105
27	5888	10080
28	5824	10084
29	6048	10058
30	6432	10278
31	5984	10136
32	6016	10303
33	6368	10550
34	6400	10803
35	6624	10886
36	6944	10969
37	6944	11145
38	6912	11208
39	6944	11087
40	6944	11231
41	7488	11217
42	7456	11193
43	7456	11383
44	7552	11362
45	7456	11374
46	7456	11350
47	7456	11495
48	7456	11702
49	7968	11899
50	11680	11943
51	8064	12011
52	8096	12011
53	8576	12131
54	8544	12125
55	8192	12118
56	8160	12190
57	8576	12280
58	8544	12313
59	8512	12477
60	8608	12663
61	9280	12850
62	9056	13001
63	9088	12920
64	9088	13001
65	9088	13254
66	13120	13252
67	9248	13330
68	9600	13392
69	9248	13454
70	9600	13556
71	9632	13549
72	9632	13635
73	10176	13865
74	10144	14062
75	9824	13884
76	10144	14138
77	10112	14246
78	10144	14305
79	10112	14366
80	10400	14389
81	10752	14794
82	10496	14782
83	10784	14901
84	10656	14965
85	10816	14997
86	11232	15035
87	10656	15079
88	11232	15132
89	11232	15224
90	11296	15387
91	12128	15528
92	11392	15746
93	11296	15773
94	11616	15790
95	11552	15645
96	11776	15858
97	11744	15982
98	11936	16088
99	12128	16131
100	11904	16132

Double-Single precision
Multiplications	shortest(ns)	average(ns)
1	5344	9343
2	5344	9371
3	5312	9414
4	5888	9467
5	5856	10211
6	5888	10191
7	5888	10285
8	5824	10175
9	6912	11121
10	6944	11191
11	6944	11165
12	6912	11158
13	7744	12290
14	8672	12351
15	8576	12397
16	8000	12303
17	9536	13143
18	9152	13253
19	9088	13059
20	9120	13117
21	10176	14164
22	9792	14167
23	10144	14160
24	10720	14206
25	10240	15087
26	11392	15225
27	11232	15218
28	11488	15275
29	12416	16013
30	11904	16050
31	11808	16035
32	12512	16141
33	12768	16727
34	12992	17186
35	13472	17451
36	13536	17671
37	13408	17730
38	13952	17810
39	13920	18026
40	13920	18233
41	14432	18734
42	14560	19117
43	14528	19384
44	14656	19666
45	15584	19792
46	15520	19885
47	15552	19941
48	15680	20028
49	16160	20286
50	16096	20519
51	16192	20778
52	17568	21015
53	17248	21151
54	17216	21256
55	17280	21485
56	17984	21860
57	18176	22243
58	18016	22336
59	18368	22630
60	18272	22744
61	19296	23116
62	18976	23211
63	18816	23304
64	19392	23454
65	20032	23960
66	20480	24329
67	19904	24591
68	21088	24820
69	20896	24970
70	20928	24971
71	20992	25120
72	21120	25472
73	21568	25886
74	21952	26106
75	22048	26383
76	21984	26660
77	22528	26888
78	22592	27108
79	22656	27182
80	23040	27238
81	23296	27516
82	24288	27806
83	23552	28014
84	24352	28247
85	24160	28377
86	25216	28497
87	24672	28573
88	24672	28814
89	24928	29015
90	25216	29385
91	25280	29764
92	25888	30190
93	26304	30332
94	26336	30368
95	26048	30494
96	26304	30807
97	26848	31108
98	26880	31434
99	26944	31693
100	27200	31886

Quad-Single precision
Multiplications	shortest(ns)	average(ns)
1	107840	111918
2	107808	111903
3	107616	111980
4	108128	112032
5	123680	127057
6	123232	127445
7	122688	127548
8	123104	127730
9	147232	151978
10	147232	152453
11	147424	152409
12	147776	152578
13	172640	178577
14	174112	179444
15	175744	179639
16	175104	179873
17	209536	215047
18	210496	215442
19	209696	215892
20	209472	216531
21	247936	255127
22	250208	256195
23	251872	256835
24	251904	257373
25	334880	339884
26	335936	343861
27	336704	349834
28	337408	355656
29	352256	359530
30	351872	361715
31	352672	364196
32	352992	371720
33	378912	385988
34	380128	388734
